State,Source,Stepping,Weight,Type,GC,COMMENT,UNIT,CLUSTER,Annealing/TR
PS2_WMFE_NULLTOPSC,Gen8,A0,9.83,syn,187920.00,,WMFE,ROSC,
PS2_WMFE_POLYFIFO_READ,Gen8,B0,7.37,ebb,1.00,,WMFE,ROSC,
PS2_WMFE_POLYFIFO_READ,Gen8LPSoC,B0,0.00,ebb,1.00,,WMFE,ROSC,NOT AVAILABLE
PS2_WMFE_POLYFIFO_WRITE,Gen8,B0,11.23,ebb,1.00,,WMFE,ROSC,
PS2_WMFE_POLYFIFO_WRITE,Gen8LPSoC,B0,0.00,ebb,1.00,,WMFE,ROSC,NOT AVAILABLE
PS2_HIZ_Zonly_1lit_4x4_Pass_Ambig,Gen8,A0,103.30,syn,1791810.00,,HIZ,Z,
PS2_HIZ_Zonly_1lit_4x4_all_lit_Fail,Gen8,A0,103.30,syn,1791810.00,,HIZ,Z,
PS2_HIZ_Zonly_2lit_4x4_Pass_Ambig,Gen8,A0,103.30,syn,1791810.00,,HIZ,Z,
PS2_HIZ_Zonly_2lit_4x4_all_lit_Fail,Gen8,A0,103.30,syn,1791810.00,,HIZ,Z,
PS2_HIZ_Zonly_3lit_4x4_Pass_Ambig,Gen8,A0,103.30,syn,1791810.00,,HIZ,Z,
PS2_HIZ_Zonly_3lit_4x4_all_lit_Fail,Gen8,A0,103.30,syn,1791810.00,,HIZ,Z,
PS2_HIZ_Zonly_4lit_4x4_Pass_Ambig,Gen8,A0,103.30,syn,1791810.00,,HIZ,Z,
PS2_HIZ_Zonly_4lit_4x4_all_lit_Fail,Gen8,A0,103.30,syn,1791810.00,,HIZ,Z,
PS2_HIZ_ZSTC_1lit_4x4_Pass_Ambig,Gen8,A0,103.30,syn,1791810.00,,HIZ,Z,
PS2_HIZ_ZSTC_1lit_4x4_all_lit_Fail,Gen8,A0,103.30,syn,1791810.00,,HIZ,Z,
PS2_HIZ_ZSTC_2lit_4x4_Pass_Ambig,Gen8,A0,103.30,syn,1791810.00,,HIZ,Z,
PS2_HIZ_ZSTC_2lit_4x4_all_lit_Fail,Gen8,A0,103.30,syn,1791810.00,,HIZ,Z,
PS2_HIZ_ZSTC_3lit_4x4_Pass_Ambig,Gen8,A0,103.30,syn,1791810.00,,HIZ,Z,
PS2_HIZ_ZSTC_3lit_4x4_all_lit_Fail,Gen8,A0,103.30,syn,1791810.00,,HIZ,Z,
