Unit,Cluster,Gen9LPClient,Gen9LPSoC,Gen9LPglv,Gen9.5LP,Gen10LP,Gen11_old,Gen11LP,Gen12LP_Arijit,Gen12LP_28,Gen12LP,Gen11
SMALL,HDC,38990,118537.92,118537.92,37367,112588.7,112654.465,265975.76,118891.1647,15494.14117,15493.86497,171903.4
Assign,L3_Bank,0,0,0,0,0,0,1,0.803,0.718605591,0.718605591,0.776506629
CLKGLUE,L3_Bank,1,1,0.91,1,1,0.899,1,0.803,0.718605591,0.718605591,0.776506629
CPunit,L3_Bank,4510,10387.15,10387.15,4104,13357.5,12005.267,12656.82,10163.42646,9095.261616,9095.261616,9828.104636
DFX,L3_Bank,95261,230284.21,230284.21,88107,129571.18,116454.173,78576.37,63096.82511,56465.4188,56465.4188,61015.07221
DOP,L3_Bank,1,1,0.91,1,1,0.899,1,0.803,0.718605591,0.718605591,0.776506629
L3BankOther,L3_Bank,0,0,0,0,0,0,1,0,0,0,0
LBI,L3_Bank,0,0,0,0,0,221564,170220.7,150970.13,137132.6621,137132.6621,167125.05
LSLM,L3_Bank,246931,418792.89,209396.445,247588,415881.93,0,1,0,0,0,0
LSQC,L3_Bank,388630,752877.86,539677.86,396580,1128418.88,1010446.267,586824.43,549572.986,655011.8665,655011.8665,841593.45
LSQD,L3_Bank,327889,468107.93,419107.93,322720,498077.85,510441.765,366361.71,645382.54,138935.685,138935.685,439176.99
LTCC,L3_Bank,24268,34369.77,34369.77,24269,45033.78,49939.85,48289.18,42661.777,75114.48513,75114.48513,46187.83
LTCD_Data,L3_Bank,744927,793604.88,1038705.73,744927,343954.67,271604.829,251792.58,221280.656,462612.0732,462612.0732,189012.62
LTCD_EBB,L3_Bank,1,1,2,1,1,1,1,0,0,0,0
LTCD_Tag,L3_Bank,744927,793604.88,1038705.73,744927,822980.02,822671.938,1418029.66,754671.92,801718.2204,801718.2204,719347.53
NONCLKGLUE,L3_Bank,1,1,0.91,1,1,0.899,1,0.803,0.718605591,0.718605591,0.776506629
Repeater,L3_Bank,3360,59264.65,59264.65,3703,84917.56,76321.017,25506.77,20481.93631,18329.30753,18329.30753,19806.176
SMALL,L3_Bank,50300,39930.16,39930.16,46520,190473.6,143060.679,432235.62,347085.2029,82015.00504,82015.00504,139650.45
Assign,L3Node,760,0,0,760,97331.16,167908.306,1,1.26,2.26273721,2.170002841,1.136036423
CLKGLUE,L3Node,1,1,1,1,1,1.725,1,1.26,2.26273721,2.170002841,1.136036423
CPunit,L3Node,9580,5888.43,5888.43,9580,12758.33,22009.699,28739.02,36211.1652,32514.42497,62363.75505,32648.57349
DFX,L3Node,93630,108605.08,108605.08,88107,64488.56,111250.754,216097.21,272282.4846,244485.599,468931.5596,245494.3015
DOP,L3Node,1,1,1,1,1,1.725,1,1.26,2.26273721,2.170002841,1.136036423
LNE,L3Node,475589,328975.5,358975.5,448758,818568.17,873562.776,1481567.865,1706090.515,1743182.909,2902024.51,1879850.42
LNEXS,L3Node,533934,0,0,533934,0,0,0,0,0,0,0
LNI,L3Node,985759,690006.34,790006.34,937780,1676638.61,1278707.599,1493128.025,2045502.845,0,0,2083394.35
LNIB,L3Node,1,1,1,1,1,1,1,920000,1226893.981,2557613.071,1
LNIC,L3Node,1,1,1,1,1,1,1,1200000,1228322.897,2557613.071,1
LNIXS,L3Node,624036,0,0,624036,0,0,0,0,0,0,0
NONCLKGLUE,L3Node,1,1,1,1,1,1.725,1,1.26,2.26273721,2.170002841,1.136036423
Repeater,L3Node,157040,51736.47,51736.47,157040,708530.46,320000,348908.12,439624.2312,394743.693,757131.6116,396372.3327
SMALL,L3Node,190080,94276.93,94276.93,190080,274795.37,474056.049,845709.6,1065594.096,247778.6125,273044.455,376875.29
Blitter,Other,1579945,1692034.29,1692034.29,1537440,1043440.35,1045678.53,776000.9,1185888.53,715995.0824,684579.6899,758579.67
ClockSpine,Other,1,1,1,1,1,1,1,1.137,1.013671224,1.006296348,0.967780391
GTP24C,Other,990453,1058016.5,1058016.5,968583,1205520.67,1445271.414,1100253.15,1495771.414,1211188.659,1211188.659,1045097.19
Media_Idle,Other,0,0,0,0,1,1,1,0,0,0,0
WIDI,Other,1324793,1303867.36,1303867.36,1270185,1612344.19,1612344.19,2383531.31,2390839.11,2390839.11,2390839.11,2318860.85
Fabric,RC,0,0,0,0,0,0,0,0,180647.2671,180647.2671,180647.2671
GT3BFRC,RC,1972246,0,0,1972246,0,0,0,0,0,0,0
L3XSRC,RC,843656,0,0,843656,0,0,0,0,0,0,0
LNIECS,RC,45030,0,0,45030,0,0,0,0,0,0,0
LSN,RC,0,0,0,0,0,0,0,0,0,0,0
RC,RC,314218,0,0,314218,0,0,0,0,0,0,0
SliceRC,RC,864926,0,0,864926,0,0,0,0,0,0,0
rCL,rFF,1181388,0,542500,1181388,0,77426.375,510340.9,617757.71,249126.674,1132990.361,676066.29
rCS,rFF,468457,423157.86,509950,451139,0,501245.13,388140.96,436866.64,416472.315,416472.315,375607.79
